Time Series,Metric,alpha,tau,K,DC,init,IMFs
TS1,R2,50000,0,3,True,10,1 + 9
TS1,R2_Adj,50000,0,3,True,10,1 + 9
TS1,AIC,50000,0,3,True,10,1 + 9
TS1,BIC,50000,0,3,True,10,1 + 9
TS2,R2,50000,0,3,True,10,1 + 7
TS2,R2_Adj,50000,0,3,True,10,1 + 7
TS2,AIC,50000,0,3,True,10,1 + 7
TS2,BIC,50000,0,3,True,10,1 + 7
TS3,R2,50000,0,3,True,10,1 + 9
TS3,R2_Adj,50000,0,3,True,10,1 + 9
TS3,AIC,50000,0,3,True,10,1 + 9
TS3,BIC,50000,0,3,True,10,1 + 9
TS4,R2,50000,0,3,True,10,1 + 9
TS4,R2_Adj,50000,0,3,True,10,1 + 9
TS4,AIC,50000,0,3,True,10,1 + 9
TS4,BIC,50000,0,3,True,10,1 + 9
TS5,R2,50000,0,3,True,10,1 + 7
TS5,R2_Adj,50000,0,3,True,10,1 + 7
TS5,AIC,50000,0,3,True,10,1 + 7
TS5,BIC,50000,0,3,True,10,1 + 7
TS6,R2,50000,0,3,True,10,1 + 5
TS6,R2_Adj,50000,0,3,True,10,1 + 5
TS6,AIC,50000,0,3,True,10,1 + 5
TS6,BIC,50000,0,3,True,10,1 + 5
TS7,R2,50000,0,3,True,10,1 + 7
TS7,R2_Adj,50000,0,3,True,10,1 + 7
TS7,AIC,50000,0,3,True,10,1 + 7
TS7,BIC,50000,0,3,True,10,1 + 7
