Time Series,Metric,alpha,tau,K,DC,init,IMFs
TS1,R2,50000,0,3,True,10,10 + 6
TS1,R2_Adj,50000,0,3,True,10,10 + 6
TS1,AIC,50000,0,3,True,10,10 + 6
TS1,BIC,50000,0,3,True,10,10 + 6
TS2,R2,50000,0,3,True,10,10 + 3
TS2,R2_Adj,50000,0,3,True,10,10 + 3
TS2,AIC,50000,0,3,True,10,10 + 3
TS2,BIC,50000,0,3,True,10,10 + 3
TS3,R2,50000,0,3,True,10,10 + 7
TS3,R2_Adj,50000,0,3,True,10,10 + 7
TS3,AIC,50000,0,3,True,10,10 + 7
TS3,BIC,50000,0,3,True,10,10 + 7
TS4,R2,50000,0,3,True,10,10 + 6
TS4,R2_Adj,50000,0,3,True,10,10 + 6
TS4,AIC,50000,0,3,True,10,10 + 6
TS4,BIC,50000,0,3,True,10,10 + 6
TS5,R2,50000,0,3,True,10,10 + 1
TS5,R2_Adj,50000,0,3,True,10,10 + 1
TS5,AIC,50000,0,3,True,10,10 + 1
TS5,BIC,50000,0,3,True,10,10 + 1
TS6,R2,50000,0,3,True,10,10 + 4
TS6,R2_Adj,50000,0,3,True,10,10 + 4
TS6,AIC,50000,0,3,True,10,10 + 4
TS6,BIC,50000,0,3,True,10,10 + 4
TS7,R2,50000,0,3,True,10,10 + 6
TS7,R2_Adj,50000,0,3,True,10,10 + 6
TS7,AIC,50000,0,3,True,10,10 + 6
TS7,BIC,50000,0,3,True,10,10 + 6
TS8,R2,50000,0,3,True,10,10 + 7
TS8,R2_Adj,50000,0,3,True,10,10 + 7
TS8,AIC,50000,0,3,True,10,10 + 7
TS8,BIC,50000,0,3,True,10,10 + 7
TS9,R2,50000,0,3,True,10,10 + 7
TS9,R2_Adj,50000,0,3,True,10,10 + 7
TS9,AIC,50000,0,3,True,10,10 + 7
TS9,BIC,50000,0,3,True,10,10 + 7
TS10,R2,50000,0,3,True,10,10 + 7
TS10,R2_Adj,50000,0,3,True,10,10 + 7
TS10,AIC,50000,0,3,True,10,10 + 7
TS10,BIC,50000,0,3,True,10,10 + 7
TS11,R2,50000,0,3,True,10,10 + 7
TS11,R2_Adj,50000,0,3,True,10,10 + 7
TS11,AIC,50000,0,3,True,10,10 + 7
TS11,BIC,50000,0,3,True,10,10 + 7
TS12,R2,50000,0,3,True,10,10 + 7
TS12,R2_Adj,50000,0,3,True,10,10 + 7
TS12,AIC,50000,0,3,True,10,10 + 7
TS12,BIC,50000,0,3,True,10,10 + 7
TS13,R2,50000,0,3,True,10,10 + 7
TS13,R2_Adj,50000,0,3,True,10,10 + 7
TS13,AIC,50000,0,3,True,10,10 + 7
TS13,BIC,50000,0,3,True,10,10 + 7
TS14,R2,50000,0,3,True,10,10 + 7
TS14,R2_Adj,50000,0,3,True,10,10 + 7
TS14,AIC,50000,0,3,True,10,10 + 7
TS14,BIC,50000,0,3,True,10,10 + 7
TS15,R2,50000,0,3,True,10,10 + 7
TS15,R2_Adj,50000,0,3,True,10,10 + 7
TS15,AIC,50000,0,3,True,10,10 + 7
TS15,BIC,50000,0,3,True,10,10 + 7
TS16,R2,50000,0,3,True,10,10 + 7
TS16,R2_Adj,50000,0,3,True,10,10 + 7
TS16,AIC,50000,0,3,True,10,10 + 7
TS16,BIC,50000,0,3,True,10,10 + 7
TS17,R2,50000,0,3,True,10,10 + 7
TS17,R2_Adj,50000,0,3,True,10,10 + 7
TS17,AIC,50000,0,3,True,10,10 + 7
TS17,BIC,50000,0,3,True,10,10 + 7
TS18,R2,50000,0,3,True,10,10 + 7
TS18,R2_Adj,50000,0,3,True,10,10 + 7
TS18,AIC,50000,0,3,True,10,10 + 7
TS18,BIC,50000,0,3,True,10,10 + 7
TS19,R2,50000,0,3,True,10,10 + 7
TS19,R2_Adj,50000,0,3,True,10,10 + 7
TS19,AIC,50000,0,3,True,10,10 + 7
TS19,BIC,50000,0,3,True,10,10 + 7
TS20,R2,50000,0,3,True,10,10 + 7
TS20,R2_Adj,50000,0,3,True,10,10 + 7
TS20,AIC,50000,0,3,True,10,10 + 7
TS20,BIC,50000,0,3,True,10,10 + 7
TS21,R2,50000,0,3,True,10,10 + 7
TS21,R2_Adj,50000,0,3,True,10,10 + 7
TS21,AIC,50000,0,3,True,10,10 + 7
TS21,BIC,50000,0,3,True,10,10 + 7
