Time Series,Season,Metric,K,alpha,DC,init,IMFs
TS1,s2,R2,10,50000,True,10,2 + 0
TS1,s2,R2_Adj,10,50000,True,10,2 + 0
TS1,s2,AIC,10,50000,True,10,2 + 0
TS1,s2,BIC,10,50000,True,10,2 + 0
TS2,s11,R2,10,50000,True,10,2 + 0
TS2,s11,R2_Adj,10,50000,True,10,2 + 0
TS2,s11,AIC,10,50000,True,10,2 + 0
TS2,s11,BIC,10,50000,True,10,2 + 0
TS3,s2,R2,10,50000,True,10,2 + 1
TS3,s2,R2_Adj,10,50000,True,10,2 + 1
TS3,s2,AIC,10,50000,True,10,2 + 1
TS3,s2,BIC,10,50000,True,10,2 + 1
TS4,s12,R2,10,50000,True,10,2 + 0
TS4,s12,R2_Adj,10,50000,True,10,2 + 0
TS4,s12,AIC,10,50000,True,10,2 + 0
TS4,s12,BIC,10,50000,True,10,2 + 0
