Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
TS1,2 - 3,AIC,5000,2,501,0,1e-06
TS1,2 - 4,AIC,5000,0,1,0,1e-06
TS1,2 - 5,AIC,10000,0,1001,0,1e-06
TS2,2 - 3,AIC,20000,0,10001,0,1e-06
TS2,2 - 4,AIC,0,0,False,0,1e-06
TS2,2 - 5,AIC,0,0,False,0,1e-06
TS3,2 - 3,AIC,0,0,1,0,1e-06
TS3,2 - 4,AIC,500,3,10001,0,1e-06
TS3,2 - 5,AIC,1000,1,501,0,1e-06
TS4,2 - 3,AIC,1000,1,5001,0,1e-06
TS4,2 - 4,AIC,500,3,10001,0,1e-06
TS4,2 - 5,AIC,20000,0,1001,0,1e-06
TS5,2 - 3,AIC,5000,2,1001,0,1e-06
TS5,2 - 4,AIC,500,2,5001,0,1e-06
TS5,2 - 5,AIC,0,0,False,0,1e-06
