Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,50000,True,10,2 + 6
TS1,R2_Adj,10,50000,True,10,2 + 6
TS1,AIC,10,50000,True,10,2 + 6
TS1,BIC,10,50000,True,10,2 + 6
TS2,R2,10,50000,True,10,2 + 0
TS2,R2_Adj,10,50000,True,10,2 + 0
TS2,AIC,10,50000,True,10,2 + 0
TS2,BIC,10,50000,True,10,2 + 0
TS3,R2,10,50000,True,10,2 + 6
TS3,R2_Adj,10,50000,True,10,2 + 6
TS3,AIC,10,50000,True,10,2 + 6
TS3,BIC,10,50000,True,10,2 + 6
TS4,R2,10,50000,True,10,2 + 6
TS4,R2_Adj,10,50000,True,10,2 + 6
TS4,AIC,10,50000,True,10,2 + 6
TS4,BIC,10,50000,True,10,2 + 6
TS5,R2,10,50000,True,10,2 + 5
TS5,R2_Adj,10,50000,True,10,2 + 5
TS5,AIC,10,50000,True,10,2 + 5
TS5,BIC,10,50000,True,10,2 + 5
