Time Series,Metric,K,alpha,DC,init,IMFs
TS1,R2,10,2500,True,0,2 + 1
TS1,R2_Adj,10,2500,True,2,2 + 1
TS1,AIC,10,2500,True,2,2 + 1
TS1,BIC,10,2500,True,2,2 + 2
TS2,R2,10,0,False,0,2 + 0
TS2,R2_Adj,10,0,False,0,2 + 0
TS2,AIC,10,0,False,0,2 + 0
TS2,BIC,10,0,False,0,2 + 0
TS3,R2,10,2500,True,2,2 + 6
TS3,R2_Adj,10,2500,False,2,2 + 6
TS3,AIC,10,2500,True,0,2 + 6
TS3,BIC,10,2500,False,2,2 + 6
TS4,R2,10,5000,False,2,2 + 3
TS4,R2_Adj,10,5000,True,0,2 + 3
TS4,AIC,10,5000,True,0,2 + 3
TS4,BIC,10,5000,True,0,2 + 3
TS5,R2,10,2500,True,0,2 + 4
TS5,R2_Adj,10,2500,True,0,2 + 4
TS5,AIC,10,2500,True,0,2 + 4
TS5,BIC,10,2500,True,0,2 + 4
